Planting_ID,Block,Comps,plant_present,present_with_seeds,seeds,glumes,undeveloped,Date_counted,Notes
859,9,y,n,,,,,9/2/2020,
860,9,y,n,,,,,9/2/2020,
861,9,y,y,y,11,6,0,9/2/2020,
862,9,y,y,y,10,10,0,9/2/2020,
863,9,y,n,,,,,9/2/2020,
864,9,y,y,y,5,5,0,9/2/2020,
865,9,y,n,,,,,9/2/2020,
866,9,y,y,y,1,2,0,9/2/2020,
867,9,y,n,,,,,9/2/2020,
868,9,y,n,,,,,9/2/2020,
869,9,y,n,,,,,9/2/2020,
870,9,y,n,,,,,9/2/2020,
871,9,y,n,,,,,9/2/2020,
872,9,y,y,y,7,7,0,9/2/2020,
873,9,y,n,,,,,9/2/2020,
874,9,y,n,,,,,9/2/2020,
783,8,n,n,,,,,9/2/2020,
784,8,n,y,y,14,13,0,9/2/2020,
785,8,n,n,,,,,9/2/2020,
786,8,n,n,,,,,9/2/2020,
787,8,n,n,,,,,9/2/2020,
788,8,n,y,y,4,10,5,9/2/2020,
789,8,n,n,,,,,9/2/2020,
790,8,n,y,y,8,7,1,9/2/2020,
791,8,n,y,n,0,7,7,9/2/2020,
792,8,n,y,y,18,17,0,9/2/2020,
793,8,n,n,,,,,9/2/2020,
794,8,n,y,y,13,10,0,9/2/2020,
795,8,n,x,y,3,,,9/2/2020,"lolium, green"
796,8,n,n,,,,,9/2/2020,
797,8,n,y,y,9,11,1,9/2/2020,
798,8,n,y,y,18,17,3,9/2/2020,
799,8,n,n,,,,,9/2/2020,
800,8,n,n,,,,,9/2/2020,
801,8,n,n,,,,,9/2/2020,
802,8,n,n,,,,,9/2/2020,
803,8,n,y,y,8,9,0,9/2/2020,
804,8,n,y,y,6,4,0,9/2/2020,
805,8,n,n,,,,,9/2/2020,
806,8,n,y,y,6,4,0,9/2/2020,
807,8,n,x,,,,,9/2/2020,tube missing
808,8,n,n,,,,,9/2/2020,
809,8,n,n,,,,,9/2/2020,
810,8,n,n,,,,,9/2/2020,
811,8,n,n,,,,,9/2/2020,
812,8,n,n,,,,,9/2/2020,
813,8,n,n,,,,,9/2/2020,
814,8,n,n,,,,,9/2/2020,
